t,P,Marginal
-10.0,1.5472128961274531e-49,1.208190089866126e-46
-9.993998799759952,1.7600081621474593e-49,1.3707116293641693e-46
-9.987997599519904,2.00191855352343e-49,1.5549771901504144e-46
-9.981996399279856,2.276906752154347e-49,1.763880037483409e-46
-9.975995199039808,2.5894719052559484e-49,2.0006962799973037e-46
-9.96999399879976,2.9447218595820702e-49,2.269135243231114e-46
-9.963992798559712,3.348455068601321e-49,2.5733964332972245e-46
-9.957991598319664,3.8072534607451544e-49,2.9182339478435413e-46
-9.951990398079616,4.328587727410034e-49,3.309029302293286e-46
-9.945989197839568,4.920936682419332e-49,3.751873764420356e-46
-9.93998799759952,5.5939225630691885e-49,4.2536614314560884e-46
-9.933986797359472,6.358464390018623e-49,4.822194443175747e-46
-9.927985597119424,7.226951782891463e-49,5.466301904090843e-46
-9.921984396879376,8.213441944777533e-49,6.195974290580246e-46
-9.915983196639328,9.333882886645399e-49,7.022515347462356e-46
-9.90998199639928,1.0606366367422684e-48,7.958713736447443e-46
-9.903980796159232,1.2051414483278823e-48,9.019036989836367e-46
-9.897979595919184,1.3692304357367513e-48,1.0219850650943045e-45
-9.891978395679136,1.5555435966755405e-48,1.1579665852736388e-45
-9.885977195439088,1.7670748805292576e-48,1.3119419003442684e-45
-9.87997599519904,2.0072193829721436e-48,1.486278771831185e-45
-9.873974794958992,2.2798267982612736e-48,1.6836547667176746e-45
-9.867973594718944,2.5892619542449623e-48,1.907097560541851e-45
-9.861972394478896,2.940473363268078e-48,2.1600304530044838e-45
-9.855971194238847,3.339070844400611e-48,2.446323766241842e-45
-9.8499699939988,3.791413410580198e-48,2.7703528815577168e-45
-9.843968793758751,4.304708770404826e-48,3.137063766926391e-45
-9.837967593518703,4.8871259707647723e-48,3.552046956346043e-45
-9.831966393278655,5.54792290588843e-48,4.021621064684978e-45
-9.825965193038607,6.297590643657585e-48,4.552927059759994e-45
-9.81996399279856,7.148016774567249e-48,5.15403466897347e-45
-9.813962792558511,8.112670276235237e-48,5.834062473115022e-45
-9.807961592318463,9.206810711163368e-48,6.60331343738121e-45
-9.801960392078415,1.044772494231636e-47,7.473427852069207e-45
-9.795959191838367,1.185499496543235e-47,8.457555905891552e-45
-9.78995799159832,1.3450800924919326e-47,9.57055239696436e-45
-9.783956791358271,1.5260263908614748e-47,1.0829196404205511e-44
-9.777955591118223,1.7311833713361815e-47,1.2252439099601227e-44
-9.771954390878175,1.9637727447047987e-47,1.386168328457315e-44
-9.765953190638127,2.227442559334012e-47,1.5681098687141685e-44
-9.75995199039808,2.526323302397716e-47,1.773797756707374e-44
-9.753950790158031,2.865091341270553e-47,2.0063135750851048e-44
-9.747949589917983,3.2490406598924304e-47,2.2691364865110185e-44
-9.741948389677935,3.6841639683807813e-47,2.5661942265192894e-44
-9.735947189437887,4.177244403508374e-47,2.901920597472716e-44
-9.729945989197839,4.735959194904143e-47,3.2813202874111816e-44
-9.723944788957791,5.368996849257928e-47,3.710041941318433e-44
-9.717943588717743,6.086189604992276e-47,4.194460529057901e-44
-9.711942388477695,6.898663135707063e-47,4.741770185547239e-44
-9.705941188237647,7.819005735474931e-47,5.36008884647005e-44
-9.699939987997599,8.861459506450364e-47,6.058576168999199e-44
-9.693938787757551,1.0042136393401876e-46,6.847566413918167e-44
-9.687937587517503,1.1379262275358843e-46,7.738718175745578e-44
-9.681936387277455,1.2893452736846121e-46,8.745183083881304e-44
-9.675935187037407,1.460802460608953e-46,9.881795863642783e-44
-9.669933986797359,1.6549347871790263e-46,1.1165288444989696e-43
-9.66393278655731,1.8747243181104795e-46,1.2614531142832639e-43
-9.657931586317263,2.123543078779446e-46,1.4250804310678942e-43
-9.651930386077215,2.4052037570657212e-46,1.6098104294140948e-43
-9.645929185837167,2.724016958905331e-46,1.818348798830604e-43
