P_max,Omega,Gamma_e,Delta_1,number_of_fails,ComputTime
0.0328704494553399,0.0627536381908658,0.01,0.0,0,651.342503547669
0.0236575100264044,0.14496711317255,0.01,0.1,0,563.246743917465
0.0139949766088351,0.146414519688691,0.01,0.2,0,664.301222324371
0.0083583949726725,0.147244174007551,0.01,0.3,0,566.412905216217
0.0053029692767054,0.147843233950621,0.01,0.4,0,659.884366035461
0.0035100900526772,0.148275859541166,0.01,0.5,0,571.924191951752
0.0024220547608195,0.148680814501383,0.01,0.6,0,648.406750917435
0.0017352247370322,0.148978874103475,0.01,0.7,0,550.463086366653
0.0012860436824096,0.149266832127513,0.01,0.8,0,641.128835201263
0.0009812714252481,0.149503729034888,0.01,0.9,0,564.597523212433
0.0007680934189813,0.149715148336334,0.01,1.0,0,654.54202914238
0.000614800064781,0.149915260180239,0.01,1.1,0,560.490962743759
0.0005015682002793,0.150076065128902,0.01,1.2,0,579.504185199738
0.0004161836774687,0.150235555423464,0.01,1.3,0,653.972802877426
0.0003505476721263,0.150406370445041,0.01,1.4,0,675.288084745407
0.000298937279246,0.150526887473036,0.01,1.5,0,651.353086233139
0.0002579324022002,0.150675463291616,0.01,1.6,0,587.461326599121
0.000224731157308,0.150798763839226,0.01,1.7,0,664.253318071365
0.0001975303803903,0.150909367923301,0.01,1.8,0,602.789591312408
0.0001750009497524,0.151021597512592,0.01,1.9,0,557.23743891716
0.0001560781295122,0.151100085906092,0.01,2.0,0,656.858178138733
0.0001401537226637,0.151216594554763,0.01,2.1,0,704.756870269775
0.0001265369075748,0.151307944858015,0.01,2.2,0,700.802311658859
0.000114794999424,0.151372880194917,0.01,2.3,0,576.007044315338
0.0001046794707642,0.151470223791791,0.01,2.4,0,560.047758817673
9.58450268947891e-05,0.151553285306576,0.01,2.5,0,640.035108566284
8.80728583856204e-05,0.151612803705999,0.01,2.6,0,592.236396312714
8.12770819035642e-05,0.151724911049741,0.01,2.7,0,602.969119548798
7.52052238338881e-05,0.151784525544895,0.01,2.8,0,592.007313013077
6.98218241951198e-05,0.151871462485833,0.01,2.9,0,617.934662818909
6.4979929408383e-05,0.15192532017795,0.01,3.0,0,649.193216323853
6.06472733629738e-05,0.151999968363221,0.01,3.1,0,651.119587898254
5.67380493593834e-05,0.152067836386216,0.01,3.2,0,682.664494037628
5.31947537154656e-05,0.152124870103629,0.01,3.3,0,648.804522752762
4.99790705202729e-05,0.15218301210347,0.01,3.4,0,580.572365999222
4.70476994938373e-05,0.15223544251736,0.01,3.5,0,605.87471818924
4.43754481125757e-05,0.152296491118168,0.01,3.6,0,725.156430959702
4.19015958476962e-05,0.152305301187341,0.01,3.7,0,550.799740314484
3.96764323223454e-05,0.152408035172635,0.01,3.8,0,636.368346691132
3.76019206459153e-05,0.152454024076959,0.01,3.9,0,602.52641749382
3.5688502180354e-05,0.152500338825718,0.01,4.0,0,573.888097286224
3.39243295568704e-05,0.152557391140905,0.01,4.1,0,749.943449735642
3.22893056906035e-05,0.15261168020933,0.01,4.2,0,648.386149168015
3.07670320846342e-05,0.152653764809451,0.01,4.3,0,640.622104883194
2.93534922433549e-05,0.152701542735133,0.01,4.4,0,806.890035390854
2.80306236589897e-05,0.152731639924635,0.01,4.5,0,591.547496557236
2.68063573101572e-05,0.15279256093203,0.01,4.6,0,654.941910028458
2.56524985826728e-05,0.152823067475382,0.01,4.7,0,732.475291252136
2.4576397561844e-05,0.152866675847172,0.01,4.8,0,612.311514377594
2.35605236381676e-05,0.15288556830933,0.01,4.9,0,721.899339437485
2.26203654651983e-05,0.152953114021455,0.01,5.0,0,675.93221950531
0.0359352589113086,0.0675081651871688,0.01122018,0.0,0,552.303823471069
0.0267455302875853,0.162390391356131,0.01122018,0.1,0,549.41854929924
0.0168498654743838,0.16401599336929,0.01122018,0.2,0,644.595626115799
0.0103854533343075,0.164938089151459,0.01122018,0.3,0,566.651717662811
0.0067637123336626,0.165617911659016,0.01122018,0.4,0,562.839867591858
0.004576771103973,0.166135754110462,0.01122018,0.5,0,596.987449169159
0.0032048131143583,0.16655596590745,0.01122018,0.6,0,692.701358318329
0.0023211411349457,0.166910397621232,0.01122018,0.7,0,594.951066970825
0.0017338334448037,0.16721741951971,0.01122018,0.8,0,604.375655889511
0.0013310184992261,0.167489945394285,0.01122018,0.9,0,668.624722957611
0.0010465451944688,0.167727338406315,0.01122018,1.0,0,634.411844968796
0.0008404767753992,0.16794615473342,0.01122018,1.1,0,652.066550016403
0.0006875786357181,0.168143103800455,0.01122018,1.2,0,682.158173084259
0.0005716815365428,0.168324060607078,0.01122018,1.3,0,557.743136644363
0.0004821603515973,0.168497618639147,0.01122018,1.4,0,574.723517894745
0.0004117052775445,0.168644168678864,0.01122018,1.5,0,574.038987398148
0.000355476194201,0.168788601550162,0.01122018,1.6,0,559.130192041397
0.0003099824005728,0.168937954388185,0.01122018,1.7,0,572.380584001541
0.0002726197975153,0.169065841429805,0.01122018,1.8,0,672.464192867279
0.0002416269033477,0.16918690068542,0.01122018,1.9,0,588.690066337585
0.0002156524590606,0.169305816794883,0.01122018,2.0,0,599.454328298569
0.0001936561188248,0.169413195847637,0.01122018,2.1,0,609.66743350029
0.0001748867250542,0.169518027799647,0.01122018,2.2,0,664.167377233505
0.0001587447211776,0.169619822549609,0.01122018,2.3,0,672.779680252075
0.0001447343778847,0.169704728420032,0.01122018,2.4,0,611.561545610428
0.0001325266316356,0.169789310567191,0.01122018,2.5,0,601.342503786087
0.0001218499599673,0.169896073582135,0.01122018,2.6,0,631.127182483673
0.0001123907102236,0.169968760304598,0.01122018,2.7,0,702.527365207672
0.0001040196053211,0.170053938109738,0.01122018,2.8,0,595.647295475006
9.65639083644207e-05,0.170135511694721,0.01122018,2.9,0,569.577314376831
8.98929973007711e-05,0.170215192858833,0.01122018,3.0,0,650.333564519882
8.3900209375118e-05,0.170294292082815,0.01122018,3.1,0,656.850511074066
7.84890666564896e-05,0.170364355018464,0.01122018,3.2,0,674.835000991821
7.3593259966595e-05,0.170434781604492,0.01122018,3.3,0,686.812542915344
6.91451819161545e-05,0.170500393942576,0.01122018,3.4,0,702.884856462479
6.50940458996765e-05,0.170564094108422,0.01122018,3.5,0,587.67964720726
6.13902599026325e-05,0.17061993133257,0.01122018,3.6,0,674.133723258972
5.80027164440495e-05,0.170682656403787,0.01122018,3.7,0,704.947546005249
5.48880318199036e-05,0.170738007360342,0.01122018,3.8,0,703.229887008667
5.20302650921394e-05,0.170809311932622,0.01122018,3.9,0,657.559753894806
