P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,number_of_fails,mp.dps,ComputTime
0.0074551502508646,0.108002955265169,0.109920917471433,45.8895258666866,43.99674927111,0.001,2,25,1061.61276865006
0.0083211713134882,0.112079077067108,0.114212275306486,43.9453985093706,42.0579448121746,0.0011220184543019,2,25,871.672670602799
0.0092842851526139,0.116313424909784,0.118685866657948,42.078786928303,40.1969089310526,0.0012589254117941,0,40,1852.17337965965
0.010354690688716,0.120712147796905,0.123350642916588,40.2867037789824,38.410672763574,0.0014125375446227,3,25,1098.74610328674
0.011543524869765,0.125282447398551,0.128216696535138,38.5661375838364,36.6962308438172,0.0015848931924611,1,25,832.032190084457
0.0128629229378931,0.130031449548257,0.13329470641123,36.9142096689011,35.0507209352793,0.0017782794100389,3,25,944.348851680756
0.0143260772151268,0.134967171202749,0.138596256406988,35.328145178434,33.4713812637095,0.0019952623149688,0,25,810.242476224899
0.0159472929880696,0.140097903930102,0.14413407186648,33.8051812159456,31.9554521391356,0.0022387211385683,0,25,1142.68891906738
0.0177420397787202,0.145431231167297,0.149920440400923,32.3430520345864,30.5006754082555,0.0025118864315095,2,25,1065.89512372017
0.0197269959646213,0.150976749687951,0.155970242586256,30.9390979882536,29.104427931061,0.0028183829312644,1,25,926.136496543884
0.0219200843579573,0.156743981874338,0.162298737074173,29.5909933817051,27.7643787229671,0.0031622776601683,0,25,1055.60156583786
0.0243404959747111,0.162742042213058,0.168922017697771,28.2965954727633,26.4783968524392,0.0035481338923357,0,25,978.087410926819
0.0270086988282335,0.168982370408917,0.175859008286079,27.0535674242771,25.2441631927159,0.0039810717055349,0,40,1959.68636822701
0.0299464281763213,0.175475053961332,0.183128062709316,25.8600228177527,24.0598036166496,0.0044668359215096,0,25,1081.74290633202
0.0331766542513891,0.182231895069892,0.190750832848176,24.7138840176724,22.923244696465,0.0050118723362727,0,40,2126.69781374931
0.0367235231285451,0.189264420522594,0.198749258681,23.6132383408676,21.8325945000314,0.0056234132519034,1,25,1033.41648864746
0.0406122660596535,0.196586905369229,0.207149787307526,22.5562317784346,20.7860196183403,0.0063095734448019,0,40,2335.85768699646
0.0448690723518481,0.204210984806125,0.215978105443604,21.5411381791747,19.7817862499355,0.0070794578438413,1,25,1128.3980050087
0.0495209207398771,0.212151641482437,0.22526413553314,20.5662550539353,18.8182258208407,0.0079432823472428,0,25,1267.12385940552
0.0545953642224137,0.220422920312137,0.235040368747152,19.6299162373608,17.8936581848221,0.0089125093813374,2,25,1450.54335165024
0.06012026357427,0.2290407703396,0.245341756363802,18.7306937393958,17.0066876333161,0.01,1,25,1373.08256959915
0.066123465246302,0.238021252497311,0.25620645554619,17.8670390035528,16.1557516626153,0.0112201845430196,0,25,1130.90289330482
0.0726324202002082,0.247381915980283,0.26767863931515,17.0374709785848,15.3393949903179,0.0125892541179416,0,25,1264.1509180069
0.0796737414546293,0.257139236737318,0.279803229038859,16.2407308772021,14.5563385797756,0.0141253754462275,2,25,1423.10344457626
0.08727269980984,0.267312785631757,0.292633685554643,15.475396073438,13.8052068342198,0.0158489319246111,2,25,1296.42770934105
0.0959853981679864,0.22162997007424,0.124296946348355,6.60386111568293,0,0.0177827941003892,0,25,1009.00393199921
0.105542109377986,0.230951531928652,0.130303375998051,6.36701105631275,0,0.0199526231496888,0,25,1026.6522436142
0.115889228880918,0.240705347120693,0.136688684712201,6.13698122017504,0,0.0223872113856834,0,25,1313.37639713287
0.127064117038667,0.250910975219573,0.143485057381293,5.91359506231578,0,0.0251188643150958,1,25,1099.53510141373
0.139100983949407,0.261587645912792,0.150724801705338,5.69663339321024,0,0.0281838293126445,4,25,1355.4523191452
0.152029874909456,0.272760834198586,0.158449446089515,5.48589885686247,0,0.0316227766016837,1,25,1073.83307623863
0.165875569845891,0.284448758338065,0.166698154497131,5.28124786239135,0,0.0354813389233575,0,25,1013.76472973824
