P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.058636992972459,0.180784666986698,0.0990044591230037,7.90073185128993,0.0,0.01,0.0,0.0,0,660.580052375794
0.0495593585460293,0.386309644934429,0.431825307957317,11.5194560427357,9.92940779096884,0.01,0.1,-0.1,0,1882.40114283562
0.0383081001680793,0.543944804713554,0.673364736369495,8.05001357633138,6.62484156068264,0.01,0.2,-0.2,0,1406.15178275108
0.0305303988295635,0.661161537320925,0.925558627713116,6.21982298581349,4.91334757311763,0.01,0.3,-0.3,0,1154.63381290436
0.0251079819698859,0.747050200231619,1.18610474188405,5.10131408203538,3.87549410567905,0.01,0.4,-0.4,0,1136.83178496361
0.0211954170060576,0.809862629387995,1.45247348379698,4.35695472779469,3.18640689353387,0.01,0.5,-0.5,0,872.14822602272
0.0160638673272703,0.889138069972924,0.923738262383878,1.78075924493257,0.0,0.01,0.6,-0.6,0,921.87645816803
0.0160248873359638,0.890470673615541,1.99559113747422,3.44312975690967,2.33883831895924,0.01,0.7,-0.7,0,2065.23292136192
0.0142488588249234,0.916416118477404,2.27015926913838,3.14603766546982,2.06195227917273,0.01,0.8,-0.8,0,1172.9614906311
0.0128151543344047,0.936299196236329,2.54593432530555,2.91203949595577,1.84311313897707,0.01,0.9,-0.9,0,995.250187158585
0.0116360380069258,0.951778479256212,2.82250210060902,2.72333838127791,1.66597182435071,0.01,1.0,-1.0,0,960.32056593895
0.0091678600491235,0.992561530754856,1.74515406369918,1.39100561563967,0.0,0.01,1.1,-1.1,0,1494.64255023003
0.0098159911984442,0.973750770077743,3.37715587056979,2.43846168818921,1.39719317356181,0.01,1.2,-1.2,0,940.933451652527
0.009100345433979,0.981699052869935,3.65504585955486,2.328463808391,1.29287154536647,0.01,1.3,-1.3,0,3368.86071014404
0.0084803823606961,0.988206855388731,3.93310721226894,2.23396563038625,1.20302121735876,0.01,1.4,-1.4,0,1691.60473585129
0.0067847978952304,1.01220186909572,2.4079708238283,1.27819947446906,0.0,0.01,1.5,-1.5,0,1290.66263842583
0.0074606500903288,0.998134403347149,4.48984955495885,2.08023433181339,1.05627175609697,0.01,1.6,-1.6,0,1463.52394890785
0.0060012301330521,1.01705556705899,2.73819049212988,1.24326417000624,0.0,0.01,1.7,-1.7,0,1924.03454995155
0.0056732024306174,1.01888515527755,2.90291560622788,1.22890068024175,0.0,0.01,1.8,-1.8,0,1006.88090157509
0.006317022937774,1.00796402173739,5.32576861102612,1.91009241174437,0.892960500378899,0.01,1.9,-1.9,0,7469.13211202622
0.0060093179630504,1.01041571315913,5.60456638314307,1.86469320993206,0.849242557471899,0.01,2.0,-2.0,0,2234.65913629532
0.0048731311632155,1.02284706016458,3.39641740083983,1.19449170710957,0.0,0.01,2.1,-2.1,0,1209.36741423607
0.0046541432647406,1.02381680004939,3.56054488263856,1.18522049638413,4.2598510083014195e-12,0.01,2.2,-2.2,1,1958.49213695526
0.0052421244005654,1.01594013260521,6.44110646724365,1.75219993558107,0.740511679992709,0.01,2.3,-2.3,0,3838.01422905922
0.0042701633316685,1.02542884200388,3.88867084908168,1.16909950918874,0.0,0.01,2.4,-2.4,0,889.984530210495
0.004830405684156,1.01862181799925,6.99908661765944,1.69214372050125,0.682272398555251,0.01,2.5,-2.5,0,7697.94775009155
0.0046477638747322,1.01976362567807,7.27805579208005,1.66558429406295,0.656479525263167,0.01,2.6,-2.6,0,1787.99355483055
0.0044783677450952,1.02077650349365,7.55706931127059,1.64098090026336,0.632564101408995,0.01,2.7,-2.7,1,1708.54255080223
0.0043208329141238,1.02166477183055,7.83610947902486,1.61815040905423,0.610321950645389,0.01,2.8,-2.8,0,1552.43519473076
0.0035394941913724,1.02807326545112,4.70770516378225,1.13892848563302,2.02268474613015e-11,0.01,2.9,-2.9,0,2447.46431112289
0.0034223132086117,1.02847263236713,4.87129543149783,1.13413455998156,0.0,0.01,3.0,-3.0,0,1151.57922816277
0.0033126280205639,1.02878732348752,5.03485306736375,1.12966967485927,0.0,0.01,3.1,-3.1,1,33799.1065051556
0.0037875251322423,1.02450638598141,8.95248136495223,1.54107845080433,0.535142448719631,0.01,3.2,-3.2,1,914.434792995453
0.0031130457743251,1.02940716094997,5.36189163203518,1.12155687754237,0.0,0.01,3.3,-3.3,0,520.672715187073
0.0030219953546383,1.02969887613417,5.52533894146417,1.11787517260586,0.0,0.01,3.4,-3.4,1,849.332800626755
0.0034663947039408,1.02606123300034,9.78988641981784,1.49478591074329,0.489874481601113,0.01,3.5,-3.5,0,634.293677330017
0.0028549682192498,1.03014039515502,5.85216530418954,1.11115713397358,0.0,0.01,3.6,-3.6,0,1095.93927907944
