t,P,Marginal
-10.0,5.058975761792174e-261,1.6440052165672597e-160
-9.993998799759952,9.437669578369965e-261,2.5541955121812884e-160
-9.987997599519904,1.7283533946765555e-260,3.9672559072700866e-160
-9.981996399279856,3.091424812904203e-260,6.160435647482191e-160
-9.975995199039808,5.458188974669254e-260,9.563519920286839e-160
-9.96999399879976,9.406430658532932e-260,1.484257459295921e-159
-9.963992798559712,1.608089116874957e-259,2.302957086789016e-159
-9.957991598319664,2.7305404711350585e-259,3.5722971942686753e-159
-9.951990398079616,4.5556667979603523e-259,5.539804662109311e-159
-9.945989197839568,6.079725764708955e-259,8.588680599752643e-159
-9.93998799759952,1.0126260318599251e-258,1.3312008462829917e-158
-9.933986797359472,1.6778666437918853e-258,2.062746456567482e-158
-9.927985597119424,2.75671321607344e-258,3.1954589764902915e-158
-9.921984396879376,4.5006334464847115e-258,4.948866916912302e-158
-9.915983196639328,6.9984711148977215e-258,7.6623755827699e-158
-9.90998199639928,1.1306579187778312e-257,1.1860588228122801e-157
-9.903980796159232,1.8228179923043977e-257,1.835414478462388e-157
-9.897979595919184,2.913513859782551e-257,2.8395348953577328e-157
-9.891978395679136,4.650265028725142e-257,4.3918287678132933e-157
-9.885977195439088,7.37187879147749e-257,6.790921657148878e-157
-9.87997599519904,9.5414380725152e-257,1.0497772906140715e-156
-9.873974794958992,1.5162347580367374e-256,1.622373183433512e-156
-9.867973594718944,2.3992676780913292e-256,2.5066256355597445e-156
-9.861972394478896,3.786650850943274e-256,3.8718036684976033e-156
-9.855971194238847,5.967311259582392e-256,5.978914037174374e-156
-9.8499699939988,9.355275524634689e-256,9.23031291060653e-156
-9.843968793758751,1.4626210158352866e-255,1.4246089585257801e-155
-9.837967593518703,1.1089293320815422e-255,2.198163794806071e-155
-9.831966393278655,1.7797471114249816e-255,3.3908576819776837e-155
-9.825965193038607,2.8325325559446006e-255,5.229307815384037e-155
-9.81996399279856,7.355013029525114e-256,8.062393363219247e-155
-9.813962792558511,1.2956556506302534e-255,1.2427074241045728e-154
-9.807961592318463,2.2556908626867697e-255,1.9149565961245068e-154
-9.801960392078415,3.876978309260175e-255,2.950082146991569e-154
-9.795959191838367,6.566899706063043e-255,4.543540635526798e-154
-9.78995799159832,1.102226279554608e-254,6.995839808930445e-154
-9.783956791358271,1.8323142074994023e-254,1.0768877308738276e-153
-9.777955591118223,2.9930872879939567e-254,1.657242775147911e-153
-9.771954390878175,4.914314420748772e-254,2.549687603862328e-153
-9.765953190638127,7.977412591137009e-254,3.921687134796048e-153
-9.75995199039808,1.2841640483523478e-253,6.030371218403581e-153
-9.753950790158031,2.062066044217618e-253,9.270438648001531e-153
-9.747949589917983,3.285965609180868e-253,1.42475980296281e-152
